condition,image_variant,text_variant,group_index,colorless_caption_id,structure_id,template_id,is_canonical,regime,pattern_id,motif,orientation,composition,symmetry,raw_query_count,structural_hit_at_1,structural_hit_at_5,structural_fractional_recall_at_5,structural_mrr,structural_ndcg_at_10,best_relevant_margin
original_image_full_caption,original,full_caption,18,SCAP-32D96D397FD7BD30-TPL_04,STR-32D96D397FD7BD30,TPL_04,false,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,1.000000000000,0.142857142857,0.228571428571,0.172421455251,-0.028738332646
original_image_full_caption,original,full_caption,19,SCAP-32D96D397FD7BD30-TPL_05,STR-32D96D397FD7BD30,TPL_05,false,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,0.857142857143,0.122448979592,0.273809523809,0.232139117353,-0.015450958695
original_image_full_caption,original,full_caption,20,SCAP-EFDC071AF166C8C3-TPL_01,STR-EFDC071AF166C8C3,TPL_01,true,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.857142857143,0.122448979592,0.327551020408,0.146530084513,-0.037542530469
original_image_full_caption,original,full_caption,21,SCAP-EFDC071AF166C8C3-TPL_02,STR-EFDC071AF166C8C3,TPL_02,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.571428571429,0.081632653061,0.233225108225,0.102189149453,-0.048153723989
original_image_full_caption,original,full_caption,22,SCAP-EFDC071AF166C8C3-TPL_03,STR-EFDC071AF166C8C3,TPL_03,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.571428571429,0.081632653061,0.221320346320,0.099466953238,-0.050421808447
original_image_full_caption,original,full_caption,23,SCAP-EFDC071AF166C8C3-TPL_04,STR-EFDC071AF166C8C3,TPL_04,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.714285714286,0.102040816326,0.357142857143,0.166127297525,-0.031612340893
original_image_full_caption,original,full_caption,24,SCAP-EFDC071AF166C8C3-TPL_05,STR-EFDC071AF166C8C3,TPL_05,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.571428571429,0.081632653061,0.262471655329,0.143024896365,-0.028883180448
original_image_full_caption,original,full_caption,25,SCAP-7193EBD1DE12399C-TPL_01,STR-7193EBD1DE12399C,TPL_01,true,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.000000000000,0.714285714286,0.102040816326,0.223809523810,0.146337592185,-0.033335949693
original_image_full_caption,original,full_caption,26,SCAP-7193EBD1DE12399C-TPL_02,STR-7193EBD1DE12399C,TPL_02,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.428571428571,1.000000000000,0.265306122449,0.690476190476,0.444326327625,-0.001120222466
original_image_full_caption,original,full_caption,27,SCAP-7193EBD1DE12399C-TPL_03,STR-7193EBD1DE12399C,TPL_03,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.142857142857,1.000000000000,0.163265306122,0.547619047619,0.371172652557,-0.007963431733
original_image_full_caption,original,full_caption,28,SCAP-7193EBD1DE12399C-TPL_04,STR-7193EBD1DE12399C,TPL_04,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.000000000000,1.000000000000,0.142857142857,0.354761904762,0.238783530493,-0.023814111948
original_image_full_caption,original,full_caption,29,SCAP-7193EBD1DE12399C-TPL_05,STR-7193EBD1DE12399C,TPL_05,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.142857142857,0.714285714286,0.102040816326,0.354761904762,0.199177377138,-0.020649156400
original_image_full_caption,original,full_caption,30,SCAP-DBE3E9729199A70D-TPL_01,STR-DBE3E9729199A70D,TPL_01,true,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.857142857143,0.122448979592,0.207142857143,0.120047047126,-0.041436105967
original_image_full_caption,original,full_caption,31,SCAP-DBE3E9729199A70D-TPL_02,STR-DBE3E9729199A70D,TPL_02,false,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.111768192125,0.051285459922,-0.077264902847
original_image_full_caption,original,full_caption,32,SCAP-DBE3E9729199A70D-TPL_03,STR-DBE3E9729199A70D,TPL_03,false,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.142857142857,0.020408163265,0.151422387137,0.082416658814,-0.061193981341
original_image_full_caption,original,full_caption,33,SCAP-DBE3E9729199A70D-TPL_04,STR-DBE3E9729199A70D,TPL_04,false,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.142857142857,0.020408163265,0.131689342404,0.068898946889,-0.061610311270
original_image_full_caption,original,full_caption,34,SCAP-DBE3E9729199A70D-TPL_05,STR-DBE3E9729199A70D,TPL_05,false,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.428571428571,0.061224489796,0.183333333333,0.138026331382,-0.029965128217
original_image_full_caption,original,full_caption,35,SCAP-74979A46916B9B50-TPL_01,STR-74979A46916B9B50,TPL_01,true,heldout_pattern,circles_concentric,círculos concéntricos,radial,central,radial,7,0.714285714286,1.000000000000,0.326530612245,0.857142857143,0.565921230382,0.010362727301
original_image_full_caption,original,full_caption,36,SCAP-74979A46916B9B50-TPL_02,STR-74979A46916B9B50,TPL_02,false,heldout_pattern,circles_concentric,círculos concéntricos,radial,central,radial,7,0.428571428571,1.000000000000,0.204081632653,0.666666666667,0.446835998561,-0.003121490989
original_image_full_caption,original,full_caption,37,SCAP-74979A46916B9B50-TPL_03,STR-74979A46916B9B50,TPL_03,false,heldout_pattern,circles_concentric,círculos concéntricos,radial,central,radial,7,0.571428571429,0.857142857143,0.204081632653,0.714285714286,0.431975387831,0.001213729381
original_image_full_caption,original,full_caption,38,SCAP-74979A46916B9B50-TPL_04,STR-74979A46916B9B50,TPL_04,false,heldout_pattern,circles_concentric,círculos concéntricos,radial,central,radial,7,0.428571428571,1.000000000000,0.224489795918,0.630952380952,0.372629041427,-0.005006807191
original_image_full_caption,original,full_caption,39,SCAP-74979A46916B9B50-TPL_05,STR-74979A46916B9B50,TPL_05,false,heldout_pattern,circles_concentric,círculos concéntricos,radial,central,radial,7,0.285714285714,1.000000000000,0.183673469388,0.619047619048,0.379985933826,-0.000509249312
grayscale_image_full_caption,grayscale,full_caption,0,SCAP-A3FE31524DCA0243-TPL_01,STR-A3FE31524DCA0243,TPL_01,true,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,0.142857142857,1.000000000000,0.367346938775,0.511904761905,0.512759062731,-0.002153426409
grayscale_image_full_caption,grayscale,full_caption,1,SCAP-A3FE31524DCA0243-TPL_02,STR-A3FE31524DCA0243,TPL_02,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.113507524222,0.097767669849,-0.033977523446
grayscale_image_full_caption,grayscale,full_caption,2,SCAP-A3FE31524DCA0243-TPL_03,STR-A3FE31524DCA0243,TPL_03,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.118939393939,0.131547407230,-0.029281418239
grayscale_image_full_caption,grayscale,full_caption,3,SCAP-A3FE31524DCA0243-TPL_04,STR-A3FE31524DCA0243,TPL_04,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,0.428571428571,1.000000000000,0.346938775510,0.630952380952,0.534364787293,0.000730776361
grayscale_image_full_caption,grayscale,full_caption,4,SCAP-A3FE31524DCA0243-TPL_05,STR-A3FE31524DCA0243,TPL_05,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,0.714285714286,1.000000000000,0.469387755102,0.809523809524,0.653467255915,0.006601444312
grayscale_image_full_caption,grayscale,full_caption,5,SCAP-390DD4719A974C7E-TPL_01,STR-390DD4719A974C7E,TPL_01,true,base_pattern,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,7,0.285714285714,0.571428571429,0.163265306122,0.442918985776,0.377363212059,-0.008101318564
grayscale_image_full_caption,grayscale,full_caption,6,SCAP-390DD4719A974C7E-TPL_02,STR-390DD4719A974C7E,TPL_02,false,base_pattern,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,7,0.000000000000,0.142857142857,0.040816326531,0.119227012149,0.044409403349,-0.043484555824
grayscale_image_full_caption,grayscale,full_caption,7,SCAP-390DD4719A974C7E-TPL_03,STR-390DD4719A974C7E,TPL_03,false,base_pattern,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,7,0.000000000000,0.142857142857,0.020408163265,0.079254277469,0.038362825967,-0.042038640806
grayscale_image_full_caption,grayscale,full_caption,8,SCAP-390DD4719A974C7E-TPL_04,STR-390DD4719A974C7E,TPL_04,false,base_pattern,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,7,0.000000000000,0.142857142857,0.020408163265,0.087228455150,0.030899388329,-0.029737921698
grayscale_image_full_caption,grayscale,full_caption,9,SCAP-390DD4719A974C7E-TPL_05,STR-390DD4719A974C7E,TPL_05,false,base_pattern,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,7,0.000000000000,0.285714285714,0.122448979592,0.205523643024,0.155828673619,-0.018293301974
grayscale_image_full_caption,grayscale,full_caption,10,SCAP-83B17E3514D80A83-TPL_01,STR-83B17E3514D80A83,TPL_01,true,base_pattern,diamonds_central,rombos,diagonal,central,bilateral,7,1.000000000000,1.000000000000,0.489795918367,1.000000000000,0.689525106823,0.010477063911
grayscale_image_full_caption,grayscale,full_caption,11,SCAP-83B17E3514D80A83-TPL_02,STR-83B17E3514D80A83,TPL_02,false,base_pattern,diamonds_central,rombos,diagonal,central,bilateral,7,0.142857142857,0.714285714286,0.183673469388,0.367006802721,0.402642207250,-0.012232435601
grayscale_image_full_caption,grayscale,full_caption,12,SCAP-83B17E3514D80A83-TPL_03,STR-83B17E3514D80A83,TPL_03,false,base_pattern,diamonds_central,rombos,diagonal,central,bilateral,7,0.142857142857,0.714285714286,0.142857142857,0.388265306122,0.385346274612,-0.013004064560
grayscale_image_full_caption,grayscale,full_caption,13,SCAP-83B17E3514D80A83-TPL_04,STR-83B17E3514D80A83,TPL_04,false,base_pattern,diamonds_central,rombos,diagonal,central,bilateral,7,0.857142857143,1.000000000000,0.428571428571,0.904761904762,0.667985646806,0.007574207016
grayscale_image_full_caption,grayscale,full_caption,14,SCAP-83B17E3514D80A83-TPL_05,STR-83B17E3514D80A83,TPL_05,false,base_pattern,diamonds_central,rombos,diagonal,central,bilateral,7,0.000000000000,0.857142857143,0.183673469388,0.285714285714,0.286308910357,-0.006817360009
grayscale_image_full_caption,grayscale,full_caption,15,SCAP-32D96D397FD7BD30-TPL_01,STR-32D96D397FD7BD30,TPL_01,true,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.074979114453,0.013987560764,-0.030180362718
grayscale_image_full_caption,grayscale,full_caption,16,SCAP-32D96D397FD7BD30-TPL_02,STR-32D96D397FD7BD30,TPL_02,false,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.086074045003,0.046440723828,-0.046931271042
grayscale_image_full_caption,grayscale,full_caption,17,SCAP-32D96D397FD7BD30-TPL_03,STR-32D96D397FD7BD30,TPL_03,false,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,0.142857142857,0.020408163265,0.145634920635,0.161305439457,-0.042152277061
grayscale_image_full_caption,grayscale,full_caption,18,SCAP-32D96D397FD7BD30-TPL_04,STR-32D96D397FD7BD30,TPL_04,false,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.054085652369,0.000000000000,-0.041350839394
grayscale_image_full_caption,grayscale,full_caption,19,SCAP-32D96D397FD7BD30-TPL_05,STR-32D96D397FD7BD30,TPL_05,false,base_pattern,grecas_modular,grecas escalonadas,horizontal,modular,repetitiva,7,0.000000000000,0.428571428571,0.061224489796,0.164050235479,0.110682584486,-0.017134787781
grayscale_image_full_caption,grayscale,full_caption,20,SCAP-EFDC071AF166C8C3-TPL_01,STR-EFDC071AF166C8C3,TPL_01,true,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.428571428571,0.122448979592,0.194820384294,0.167595675467,-0.020736943398
grayscale_image_full_caption,grayscale,full_caption,21,SCAP-EFDC071AF166C8C3-TPL_02,STR-EFDC071AF166C8C3,TPL_02,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.142857142857,0.142857142857,0.020408163265,0.200671550672,0.066344957510,-0.034087625997
grayscale_image_full_caption,grayscale,full_caption,22,SCAP-EFDC071AF166C8C3-TPL_03,STR-EFDC071AF166C8C3,TPL_03,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.142857142857,0.020408163265,0.093119704022,0.028262838913,-0.040437638760
