condition,group_dimension,group_value,group_count,structural_hit_at_1,structural_hit_at_5,structural_fractional_recall_at_5,structural_mrr,structural_ndcg_at_10,best_relevant_margin
original_image_full_caption,overall,all,40,0.239285714286,0.832142857143,0.143367346939,0.467428945063,0.244898991783,-0.019519026844
original_image_full_caption,regime,base_pattern,30,0.238095238095,0.895238095238,0.145578231292,0.480790215076,0.237931254506,-0.017074318443
original_image_full_caption,regime,heldout_pattern,10,0.242857142857,0.642857142857,0.136734693878,0.427345135024,0.265802203616,-0.026853152045
original_image_full_caption,template_id,TPL_01,8,0.250000000000,0.875000000000,0.153061224490,0.480994897959,0.259376382888,-0.014031296330
original_image_full_caption,template_id,TPL_02,8,0.196428571429,0.785714285714,0.140306122449,0.435584480004,0.232456552192,-0.028519989390
original_image_full_caption,template_id,TPL_03,8,0.214285714286,0.821428571429,0.135204081633,0.454628555968,0.228521603161,-0.025126446038
original_image_full_caption,template_id,TPL_04,8,0.232142857143,0.857142857143,0.158163265306,0.458127834467,0.251155877000,-0.018759890327
original_image_full_caption,template_id,TPL_05,8,0.303571428571,0.821428571429,0.130102040816,0.507808956916,0.252984543676,-0.011157512132
original_image_full_caption,is_canonical,false,32,0.236607142857,0.821428571429,0.140943877551,0.464037456839,0.241279644007,-0.020890959472
original_image_full_caption,is_canonical,true,8,0.250000000000,0.875000000000,0.153061224490,0.480994897959,0.259376382888,-0.014031296330
grayscale_image_full_caption,overall,all,40,0.292857142857,0.510714285714,0.203061224490,0.411211185169,0.327758534686,-0.015075874462
grayscale_image_full_caption,regime,base_pattern,30,0.238095238095,0.485714285714,0.176190476190,0.369273822813,0.292051820947,-0.016986029985
grayscale_image_full_caption,regime,heldout_pattern,10,0.457142857143,0.585714285714,0.283673469388,0.537023272235,0.434878675904,-0.009345407890
grayscale_image_full_caption,template_id,TPL_01,8,0.357142857143,0.571428571429,0.252551020408,0.484145530989,0.383220503485,-0.004305740286
grayscale_image_full_caption,template_id,TPL_02,8,0.250000000000,0.375000000000,0.176020408163,0.346979507913,0.299194629563,-0.026982642311
grayscale_image_full_caption,template_id,TPL_03,8,0.250000000000,0.392857142857,0.176020408163,0.352352489015,0.315064766282,-0.022822571386
grayscale_image_full_caption,template_id,TPL_04,8,0.321428571429,0.535714285714,0.186224489796,0.426976439068,0.301090730546,-0.014785093655
grayscale_image_full_caption,template_id,TPL_05,8,0.285714285714,0.678571428571,0.224489795918,0.445601958859,0.340222043556,-0.006483324670
grayscale_image_full_caption,is_canonical,false,32,0.276785714286,0.495535714286,0.190688775510,0.392977598714,0.313893042487,-0.017768408006
grayscale_image_full_caption,is_canonical,true,8,0.357142857143,0.571428571429,0.252551020408,0.484145530989,0.383220503485,-0.004305740286
original_image_caption_without_color,overall,all,40,0.275000000000,0.500000000000,0.235714285714,0.410266386358,0.370366867973,-0.009797053412
original_image_caption_without_color,regime,base_pattern,30,0.200000000000,0.466666666667,0.190476190476,0.356131764846,0.315562519877,-0.016047298412
original_image_caption_without_color,regime,heldout_pattern,10,0.500000000000,0.600000000000,0.371428571429,0.572670250896,0.534779912260,0.008953681588
original_image_caption_without_color,template_id,TPL_01,8,0.250000000000,0.500000000000,0.214285714286,0.385912698413,0.329059384553,-0.003182649612
original_image_caption_without_color,template_id,TPL_02,8,0.250000000000,0.375000000000,0.214285714286,0.331044421626,0.333660765329,-0.029011599719
original_image_caption_without_color,template_id,TPL_03,8,0.250000000000,0.375000000000,0.196428571429,0.324775326797,0.316375117638,-0.015012083575
original_image_caption_without_color,template_id,TPL_04,8,0.250000000000,0.500000000000,0.250000000000,0.418913210445,0.373701161168,-0.006362790242
original_image_caption_without_color,template_id,TPL_05,8,0.375000000000,0.750000000000,0.303571428571,0.590686274510,0.499037911175,0.004583856091
original_image_caption_without_color,is_canonical,false,32,0.281250000000,0.500000000000,0.241071428571,0.416354808345,0.380693738828,-0.011450654361
original_image_caption_without_color,is_canonical,true,8,0.250000000000,0.500000000000,0.214285714286,0.385912698413,0.329059384553,-0.003182649612
grayscale_image_caption_without_color,overall,all,40,0.425000000000,0.525000000000,0.242857142857,0.490930804384,0.379457452697,-0.007361171395
grayscale_image_caption_without_color,regime,base_pattern,30,0.366666666667,0.500000000000,0.195238095238,0.447135500665,0.323147889468,-0.011070178449
grayscale_image_caption_without_color,regime,heldout_pattern,10,0.600000000000,0.600000000000,0.385714285714,0.622316715543,0.548386142382,0.003765849769
grayscale_image_caption_without_color,template_id,TPL_01,8,0.375000000000,0.500000000000,0.232142857143,0.464736652237,0.370835362776,-0.004936613143
grayscale_image_caption_without_color,template_id,TPL_02,8,0.375000000000,0.375000000000,0.232142857143,0.433843766001,0.367845372451,-0.015174441040
grayscale_image_caption_without_color,template_id,TPL_03,8,0.375000000000,0.625000000000,0.232142857143,0.465530303030,0.343330321839,-0.004030596465
grayscale_image_caption_without_color,template_id,TPL_04,8,0.500000000000,0.625000000000,0.267857142857,0.545343137255,0.415394073649,-0.012369181961
grayscale_image_caption_without_color,template_id,TPL_05,8,0.500000000000,0.500000000000,0.250000000000,0.545200163399,0.399882132770,-0.000295024365
grayscale_image_caption_without_color,is_canonical,false,32,0.437500000000,0.531250000000,0.245535714286,0.497479342421,0.381612975177,-0.007967310958
grayscale_image_caption_without_color,is_canonical,true,8,0.375000000000,0.500000000000,0.232142857143,0.464736652237,0.370835362776,-0.004936613143
