comparison_id,minuend,subtrahend,group_index,colorless_caption_id,structure_id,template_id,is_canonical,regime,delta_structural_hit_at_1,delta_structural_hit_at_5,delta_structural_fractional_recall_at_5,delta_structural_mrr,delta_structural_ndcg_at_10,delta_best_relevant_margin
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,19,SCAP-32D96D397FD7BD30-TPL_05,STR-32D96D397FD7BD30,TPL_05,false,base_pattern,0.000000000000,-0.428571428572,-0.061224489796,-0.109759288330,-0.121456532867,-0.001683829086
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,20,SCAP-EFDC071AF166C8C3-TPL_01,STR-EFDC071AF166C8C3,TPL_01,true,base_pattern,0.000000000000,-0.428571428572,0.000000000000,-0.132730636114,0.021065590954,0.016805587071
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,21,SCAP-EFDC071AF166C8C3-TPL_02,STR-EFDC071AF166C8C3,TPL_02,false,base_pattern,0.142857142857,-0.428571428572,-0.061224489796,-0.032553557553,-0.035844191943,0.014066097992
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,22,SCAP-EFDC071AF166C8C3-TPL_03,STR-EFDC071AF166C8C3,TPL_03,false,base_pattern,0.000000000000,-0.428571428572,-0.061224489796,-0.128200642298,-0.071204114325,0.009984169687
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,23,SCAP-EFDC071AF166C8C3-TPL_04,STR-EFDC071AF166C8C3,TPL_04,false,base_pattern,0.571428571429,0.000000000000,0.204081632654,0.310515873016,0.338333974134,0.033377890076
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,24,SCAP-EFDC071AF166C8C3-TPL_05,STR-EFDC071AF166C8C3,TPL_05,false,base_pattern,0.000000000000,-0.142857142858,0.000000000000,-0.096056393572,-0.036564354328,0.008728725570
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,25,SCAP-7193EBD1DE12399C-TPL_01,STR-7193EBD1DE12399C,TPL_01,true,base_pattern,0.428571428571,-0.142857142857,0.081632653062,0.313453866395,0.137492191926,0.027157153402
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,26,SCAP-7193EBD1DE12399C-TPL_02,STR-7193EBD1DE12399C,TPL_02,false,base_pattern,0.428571428572,0.000000000000,0.306122448980,0.238095238095,0.412796897259,0.014301376683
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,27,SCAP-7193EBD1DE12399C-TPL_03,STR-7193EBD1DE12399C,TPL_03,false,base_pattern,0.714285714286,0.000000000000,0.387755102041,0.380952380952,0.443563587145,0.019377614771
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,28,SCAP-7193EBD1DE12399C-TPL_04,STR-7193EBD1DE12399C,TPL_04,false,base_pattern,0.285714285714,-0.571428571429,0.040816326531,0.024886621315,0.074912050269,0.009951944862
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,29,SCAP-7193EBD1DE12399C-TPL_05,STR-7193EBD1DE12399C,TPL_05,false,base_pattern,0.142857142857,-0.142857142857,0.081632653062,0.037159863945,0.078872995508,0.011653010334
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,30,SCAP-DBE3E9729199A70D-TPL_01,STR-DBE3E9729199A70D,TPL_01,true,heldout_pattern,0.000000000000,-0.857142857143,-0.122448979592,-0.095865245865,-0.068958139380,0.027599622097
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,31,SCAP-DBE3E9729199A70D-TPL_02,STR-DBE3E9729199A70D,TPL_02,false,heldout_pattern,0.000000000000,0.000000000000,0.000000000000,-0.079561920728,-0.051285459922,0.002889308546
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,32,SCAP-DBE3E9729199A70D-TPL_03,STR-DBE3E9729199A70D,TPL_03,false,heldout_pattern,0.000000000000,-0.142857142857,-0.020408163265,-0.086387505774,-0.082416658814,0.006675236992
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,33,SCAP-DBE3E9729199A70D-TPL_04,STR-DBE3E9729199A70D,TPL_04,false,heldout_pattern,0.000000000000,-0.142857142857,-0.020408163265,-0.087832526951,-0.068898946889,0.020506477782
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,34,SCAP-DBE3E9729199A70D-TPL_05,STR-DBE3E9729199A70D,TPL_05,false,heldout_pattern,0.285714285714,0.428571428572,0.061224489796,0.358333333334,0.079245969940,0.024779277188
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,35,SCAP-74979A46916B9B50-TPL_01,STR-74979A46916B9B50,TPL_01,true,heldout_pattern,0.285714285714,0.000000000000,0.367346938776,0.142857142857,0.403693487794,0.025901617749
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,36,SCAP-74979A46916B9B50-TPL_02,STR-74979A46916B9B50,TPL_02,false,heldout_pattern,0.428571428572,0.000000000000,0.387755102041,0.261904761904,0.431992851275,0.019168204494
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,37,SCAP-74979A46916B9B50-TPL_03,STR-74979A46916B9B50,TPL_03,false,heldout_pattern,0.428571428571,0.142857142857,0.448979591837,0.285714285714,0.528981716544,0.026224300266
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,38,SCAP-74979A46916B9B50-TPL_04,STR-74979A46916B9B50,TPL_04,false,heldout_pattern,0.000000000000,0.000000000000,-0.020408163265,0.016666666667,-0.015309871910,0.002710287060
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,39,SCAP-74979A46916B9B50-TPL_05,STR-74979A46916B9B50,TPL_05,false,heldout_pattern,0.714285714286,0.000000000000,0.387755102041,0.380952380952,0.533719774238,0.018623109374
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,0,SCAP-A3FE31524DCA0243-TPL_01,STR-A3FE31524DCA0243,TPL_01,true,base_pattern,-0.285714285714,-1.000000000000,-0.142857142857,-0.428571428571,-0.066814256052,-0.001240230033
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,1,SCAP-A3FE31524DCA0243-TPL_02,STR-A3FE31524DCA0243,TPL_02,false,base_pattern,0.000000000000,-1.000000000000,-0.142857142857,-0.309523809524,-0.153627496956,-0.033938997558
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,2,SCAP-A3FE31524DCA0243-TPL_03,STR-A3FE31524DCA0243,TPL_03,false,base_pattern,0.000000000000,-1.000000000000,-0.142857142857,-0.243557422969,-0.130272900896,-0.006762472647
