comparison_row_index,comparability_family,experiment_id,experiment_name,source_section,comparison_id,minuend,subtrahend,statistic_name,statistic_value,sample_count,sample_unit,source_artifact_path
25,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,delta_best_relevant_margin,0.009721973432,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
26,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,delta_structural_hit_at_1,0.132142857143,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
27,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,delta_structural_hit_at_5,0.014285714286,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
28,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,delta_structural_fractional_recall_at_5,0.039795918367,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
29,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,delta_structural_mrr,0.079719619216,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
30,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,delta_structural_ndcg_at_10,0.051698918010,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
31,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,delta_best_relevant_margin,0.007714703067,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
32,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,delta_structural_hit_at_1,0.185714285714,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
33,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,delta_structural_hit_at_5,-0.307142857143,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
34,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,delta_structural_fractional_recall_at_5,0.099489795919,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
35,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,delta_structural_mrr,0.023501859322,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
36,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,delta_structural_ndcg_at_10,0.134558460913,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
37,structural_multi_relevance,E4,color_ablations,paired_overall_differences,remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,delta_best_relevant_margin,0.012157855449,40,structural_caption_group,results/v2/evaluacion/ablaciones_v2/agregados_comparaciones_estructurales_v2.csv
