catalog_row_index,experiment_id,experiment_name,dataset_version,evaluation_valid,comparability_families,summary_path,summary_sha256,metric_row_count,comparison_row_count,source_counts_json
0,E1,global_retrieval_v2,v2,true,global_exact_retrieval,results/v2/evaluacion/global_openclip_v2/resumen_global_openclip_v2.json,a37c5145ad0c474a506816a1aff92ab46963c4fe760131dd94949ebc456121c9,5,0,"{""gallery_images"":56,""is_canonical"":{""false"":224,""true"":56},""queries"":280,""ranking_rows"":15680,""splits"":{""id"":150,""ood_both"":20,""ood_palette"":60,""ood_pattern"":50}}"
1,E2,hard_negative_forced_choice,v2,true,hard_negative_forced_choice,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json,a0e0ea42bc06b6abc943e1a112d9e874b678cdc91c1be8e47376a4c510ce803c,8,2,"{""ambiguity_level"":{""alto"":7,""bajo"":28,""medio"":21},""candidate_rows"":280,""changed_attribute"":{""composition"":45,""motif"":45,""orientation"":45,""palette_id"":44,""symmetry"":45},""negative_type"":{""counterfactual_only"":174,""global_overlap"":50},""pairwise_rows"":224,""queries"":56,""splits"":{""id"":30,""ood_both"":4,""ood_palette"":12,""ood_pattern"":10}}"
2,E3,baseline_comparison,v2,true,global_exact_retrieval,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json,ceabada800501015dd485ad995724f9490c15375a3b475861bacb33d5f761b61,15,12,"{""aggregate_rows"":21,""color_ranking_rows"":15680,""comparison_rows"":3,""is_canonical"":{""false"":224,""true"":56},""query_rows"":840,""random_ranking_rows"":15680,""splits"":{""id"":150,""ood_both"":20,""ood_palette"":60,""ood_pattern"":50}}"
3,E4,color_ablations,v2,true,global_exact_retrieval|structural_multi_relevance,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json,e1a4b4460905f59948736c8520a04adcab85e7f2a32a921ae67b0eaf6caaddb1,34,24,"{""exact_aggregate_rows"":14,""exact_results"":560,""paired_aggregate_rows"":12,""paired_group_rows"":160,""raw_structural_results"":640,""structural_aggregate_rows"":40,""structural_group_results"":160,""structural_ranking_rows"":35840}"
