condition,query_count,recall_at_1,recall_at_5,mrr,ndcg_at_10,positive_margin,delta_recall_at_1_vs_openclip,delta_mrr_vs_openclip,delta_ndcg_at_10_vs_openclip,delta_positive_margin_vs_openclip,delta_recall_at_1_vs_random,delta_mrr_vs_random,delta_ndcg_at_10_vs_random,delta_positive_margin_vs_random
openclip,280,0.235714285714,0.825000000000,0.462076240384,0.581308470730,-0.019934443650,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.221428571429,0.380674905389,0.499384991519,0.461729242753
random,280,0.014285714286,0.089285714286,0.081401334995,0.081923479212,-0.481663686403,-0.221428571429,-0.380674905389,-0.499384991519,-0.461729242753,0.000000000000,0.000000000000,0.000000000000,0.000000000000
color_histogram,280,0.125000000000,0.625000000000,0.339732142857,0.494183064513,-0.270888192313,-0.110714285714,-0.122344097527,-0.087125406217,-0.250953748663,0.110714285714,0.258330807862,0.412259585302,0.210775494090
