group_dimension,group_value,query_count,recall_at_1,recall_at_5,mrr,ndcg_at_10,positive_margin
overall,all,280,0.235714285714,0.825000000000,0.462076240385,0.581308470730,-0.019934443651
split,id,150,0.233333333333,0.880000000000,0.478439634440,0.599484894279,-0.016227317651
split,ood_both,20,0.500000000000,0.800000000000,0.602142857143,0.694918337071,-0.012605321407
split,ood_palette,60,0.233333333333,0.933333333333,0.478333333333,0.605904859633,-0.019818898042
split,ood_pattern,50,0.140000000000,0.540000000000,0.337450899977,0.451819586865,-0.034126125276
is_canonical,false,224,0.232142857143,0.816964285714,0.457681397419,0.575400139639,-0.021329485745
is_canonical,true,56,0.250000000000,0.857142857143,0.479655612245,0.604941795097,-0.014354275273
